location_m,height_m
0.000,1.640
0.270,1.347
1.270,0.829
1.650,0.585
2.450,0.402
3.150,0.250
3.900,0.110
4.550,0.000
5.650,-0.238
6.550,-0.274
6.850,-0.260
7.100,-0.280
8.100,-0.296
9.400,-0.530
10.650,-0.530
10.900,-0.585
11.350,-0.744
12.200,-0.735
13.150,-0.744
14.950,-0.744
15.600,-0.780
16.550,-0.790
17.850,-0.823
18.650,-0.800
19.200,-0.649
20.050,-0.590
21.150,-0.579
21.450,-0.520
22.800,-0.421
22.850,-0.400
23.600,-0.366
24.500,-0.329
25.400,-0.283
26.650,-0.230
27.100,-0.235
27.900,-0.201
29.450,-0.134
30.400,-0.119
31.200,-0.110
32.200,0.000
32.900,0.207
33.900,0.497
34.600,0.887
35.340,1.487
35.500,1.640
